Facility Permit #,Establishment Name,Facility Name,Facility Address,Facility Unit No,Facility City,Facility State,Facility Zip,Business Status,Facility Type,Permit Type,Web Site,Operational Status,Location 1
514216,TONY'S HOUSE OF SAUSAGE #1 514216,TONY'S HOUSE OF SAUSAGE #1 514216,3663 PO Box,,Kansas City,KANSAS,64103,Open,Mobile Unit/Pushcart,Mobile Unit/Pushcart,,Operational,"3663 PO Box
Kansas City, KANSAS 64103"
1240,Briarcliff School,Briarcliff School,4100 NE Briarcliff Rd,,Kansas City,MISSOURI,64116,Open,Fee Exempt,Fee Exempt,,Operational,"4100 NE Briarcliff Rd
Kansas City, MISSOURI 64116"
100504,KCI Starbucks (Gate 79),KCI Starbucks (Gate 79),KCI Terminal C Gate 79,,Kansas City,MISSOURI,64153,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"KCI Terminal C Gate 79
Kansas City, MISSOURI 64153"
2196,Chartwells Education Food Service at Pembroke,Chartwells Education Food Service at Pembroke,5121 State Line,,Kansas City,MISSOURI,64112,Open,School - Private 6-9 Employees,School - Private,,Operational,"5121 State Line
Kansas City, MISSOURI 64112"
4177,Pembroke Hill School - Concession Stand,Pembroke Hill School - Concession Stand,5121 State Line,,Kansas City,MISSOURI,64112,Open,School - Private 0-5 Employees,School - Private,,Operational,"5121 State Line
Kansas City, MISSOURI 64112"
1882,Southeast Elementary School,Southeast Elementary School,5704 NW Northwood,,Kansas City,MISSOURI,64151,Open,Fee Exempt,Fee Exempt,,Operational,"5704 NW Northwood
Kansas City, MISSOURI 64151"
4022,English Landing Elementary School,English Landing Elementary School,6500 NW Klamm Rd,,Kansas City,MISSOURI,64151,Open,Fee Exempt,Fee Exempt,,Operational,"6500 NW Klamm Rd
Kansas City, MISSOURI 64151"
100500,KCI Starbucks (Gate 40),KCI Starbucks (Gate 40),KCI Terminal B Gate 40,,Kansas City,MISSOURI,64153,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"KCI Terminal B Gate 40
Kansas City, MISSOURI 64153"
100376,KCI Great American Bagel Bakery (Gate 68),KCI Great American Bagel Bakery (Gate 68),KCI Terminal C Gate 68,,Kansas City,MISSOURI,64153,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"KCI Terminal C Gate 68
Kansas City, MISSOURI 64153"
2817,John H. Gregg Comm & Arrington Klice,John H. Gregg Comm & Arrington Klice,1600  John Buck O'Neil Way,,Kansas City,MISSOURI,64108,Open,Fee Exempt,Fee Exempt,,Operational,"1600 John Buck O'Neil Way
Kansas City, MISSOURI 64108"
101000,KCI Jose Cuervo (Gate 36),KCI Jose Cuervo (Gate 36),KCI Terminal B Gate 36,,Kansas City,MISSOURI,64153,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"KCI Terminal B Gate 36
Kansas City, MISSOURI 64153"
100236,KCI Just Off Vine (Terminal C),KCI Just Off Vine (Terminal C),KCI Terminal C Gate 61,,Kansas City,MISSOURI,64153,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"KCI Terminal C Gate 61
Kansas City, MISSOURI 64153"
516316,Value Express 516316,Value Express 516316,7310 Fast 118 Place,,Kansas City,MISSOURI,64134,Open,Mobile Unit/Pushcart,Mobile Unit/Pushcart,,Operational,"7310 Fast 118 Place
Kansas City, MISSOURI 64134"
